Myoglobin,Troponin,CK,Time(min),Rat_ID
2.637218601,17.45036176,9.968666399,98,Rat_01
2.586613539,17.25992505,9.987328443,99,Rat_01
2.596053597,17.33884981,10.08809209,100,Rat_01
2.52564815,17.58931033,10.04096815,101,Rat_01
2.471554338,17.79952304,9.851257356,102,Rat_01
2.47314417,17.38339359,9.93623966,103,Rat_01
2.461106761,17.75553879,10.03382618,104,Rat_01
2.403759126,17.96048994,9.878921235,105,Rat_01
2.353493672,17.63555091,9.759174001,106,Rat_01
2.348778953,17.74961638,9.348586463,107,Rat_01
2.355648817,17.98655723,9.140686639,108,Rat_01
2.268153687,17.9185416,9.000809011,109,Rat_01
2.27470809,17.7961729,8.752405964,110,Rat_01
2.217286392,17.83428933,8.587195589,111,Rat_01
2.203791632,18.04153746,8.660000622,112,Rat_01
2.204637873,18.17200238,8.349225694,113,Rat_01
2.154897923,18.27326372,8.199011168,114,Rat_01
2.150199434,18.19459142,7.907821915,115,Rat_01
2.117570295,18.09259327,7.731116061,116,Rat_01
2.098353829,18.25259647,7.514302392,117,Rat_01
2.090605295,18.61346756,7.420650402,118,Rat_01
2.093344489,18.52843182,7.345490008,119,Rat_01
2.001448804,18.34438402,7.238299497,120,Rat_01
1.993530644,18.72820883,6.880061914,121,Rat_01
2.003371487,18.57405662,6.696075472,122,Rat_01
2.048826392,18.83472994,6.795718023,123,Rat_01
1.971565004,18.79569588,6.568890733,124,Rat_01
1.979356648,18.75847015,6.535591057,125,Rat_01
1.885293112,19.14735621,6.452218009,126,Rat_01
1.89395269,19.0987506,6.38847961,127,Rat_01
1.922001237,19.37527316,6.205404661,128,Rat_01
1.898213485,19.04272647,6.14250643,129,Rat_01
1.84448911,19.0615779,5.986016708,130,Rat_01
1.829734168,19.38707299,5.905683203,131,Rat_01
1.812823583,19.28412054,5.863628446,132,Rat_01
1.811154881,19.25367045,5.698653462,133,Rat_01
1.786434227,19.42625476,5.597698361,134,Rat_01
1.760187978,19.14781072,5.605256242,135,Rat_01
1.75917265,19.55652736,5.602350932,136,Rat_01
1.789250457,19.800151,5.492074138,137,Rat_01
1.685226547,19.29934734,5.476623611,138,Rat_01
1.679025921,19.15163954,5.278465879,139,Rat_01
1.664418766,19.19483645,5.238628694,140,Rat_01
1.660386531,19.58436871,5.208262604,141,Rat_01
1.637244609,19.25192427,5.140905561,142,Rat_01
1.588451083,19.74075521,4.97532921,143,Rat_01
1.63156908,19.43793154,4.954200245,144,Rat_01
1.596072221,19.70984403,4.893160812,145,Rat_01
1.56158252,19.34118103,4.791198723,146,Rat_01
1.560718111,19.50547958,4.758008833,147,Rat_01
1.551974293,19.6715314,4.683272972,148,Rat_01
1.538369162,19.54106913,4.607195879,149,Rat_01
1.546431676,19.64426374,4.599292155,150,Rat_01
1.568805401,19.37427049,4.52001443,151,Rat_01
1.543870719,19.84734107,4.523281535,152,Rat_01
1.520313976,19.18901912,4.443741866,153,Rat_01
1.548416669,19.78890807,4.382369503,154,Rat_01
1.499636846,19.41159125,4.325152475,155,Rat_01
1.493678234,19.37107176,4.2288748,156,Rat_01
1.478593777,19.03271824,4.232936344,157,Rat_01
1.482347436,18.09131723,4.2538249,158,Rat_01
1.489193012,17.73090812,4.065246313,159,Rat_01
1.441967586,17.43237356,4.067148419,160,Rat_01
1.448560453,16.85150614,4.082863184,161,Rat_01
1.495227286,16.5462653,4.044988092,162,Rat_01
1.427104679,16.69583529,3.967591076,163,Rat_01
1.443952684,16.133482,3.988721123,164,Rat_01
1.42660112,16.08316277,3.855371549,165,Rat_01
1.421546103,15.93554973,3.799931981,166,Rat_01
1.409271786,15.58856751,3.842876046,167,Rat_01
1.392552162,15.47307791,3.786582013,168,Rat_01
1.399817988,15.28727702,3.73690679,169,Rat_01
1.390941868,15.0967562,3.648201856,170,Rat_01
1.39618008,14.89138498,3.691183195,171,Rat_01
1.414572796,14.86356396,3.680056516,172,Rat_01
1.357772838,14.72522522,3.538712974,173,Rat_01
1.383363053,14.53738974,3.599269702,174,Rat_01
1.376330963,14.15899391,3.532518885,175,Rat_01
1.344076816,13.91332435,3.537684235,176,Rat_01
1.312594388,13.73777781,3.502076556,177,Rat_01
1.328186835,13.683731,3.400430965,178,Rat_01
1.292572348,13.41227904,3.44978196,179,Rat_01
1.308814791,13.1621222,3.35000544,180,Rat_01
1.291371381,13.02287183,3.3616687,181,Rat_01
1.312534662,12.89572263,3.307655671,182,Rat_01
1.296422267,12.64610644,3.302090323,183,Rat_01
1.25487042,12.37857469,3.245266969,184,Rat_01
1.291151672,12.22470829,3.178481196,185,Rat_01
1.294068779,12.14621144,3.167861843,186,Rat_01
1.239474618,12.13304706,3.202982164,187,Rat_01
1.283926267,11.85578211,3.099639819,188,Rat_01
1.229091242,11.81694952,3.058717685,189,Rat_01
1.251500381,11.40118499,3.066436366,190,Rat_01
1.257047308,11.4011081,3.056969229,191,Rat_01
1.258055794,11.44764928,3.111032253,192,Rat_01
1.249332889,10.96434592,2.972073218,193,Rat_01
1.269673007,11.26106398,2.96487234,194,Rat_01
1.258647549,11.04730429,2.986790556,195,Rat_01
1.243624464,11.01314579,2.972056529,196,Rat_01
1.247797983,10.7351369,2.90077041,197,Rat_01
1.21714341,10.65111371,2.917616905,198,Rat_01
1.230720607,10.57755543,2.905904416,199,Rat_01
1.2224046,10.32754934,2.851303757,200,Rat_01
1.247161915,10.44724004,2.827597702,201,Rat_01
1.216567556,10.18134185,2.850090412,202,Rat_01
1.227644987,10.26102933,2.792374704,203,Rat_01
1.205912162,10.16139905,2.762456402,204,Rat_01
1.186607502,9.789536505,2.756450511,205,Rat_01
1.21222816,9.763321864,2.753649166,206,Rat_01
1.208026428,9.667184753,2.761447652,207,Rat_01
1.190919324,9.639776654,2.733496169,208,Rat_01
1.150142422,9.443116413,2.724187442,209,Rat_01
1.170651604,9.387995244,2.759548339,210,Rat_01
1.202325986,9.363195526,2.735065487,211,Rat_01
1.189751623,9.204211281,2.65756884,212,Rat_01
1.184700149,9.204475246,2.645840732,213,Rat_01
1.178223564,9.270778538,2.657698747,214,Rat_01
1.166160026,9.060906161,2.570083506,215,Rat_01
1.163570935,8.939328504,2.598899695,216,Rat_01
1.176934276,9.113965288,2.623871605,217,Rat_01
1.161116978,8.877629853,2.55558758,218,Rat_01
1.169917535,8.821738028,2.495622582,219,Rat_01
1.155271028,8.786250614,2.464953293,220,Rat_01
1.127087276,8.66580008,2.465491777,221,Rat_01
1.144389715,8.470663678,2.481598541,222,Rat_01
1.146467348,8.37992866,2.443303227,223,Rat_01
1.135318199,8.461517519,2.432303262,224,Rat_01
1.124445889,8.487341256,2.411922124,225,Rat_01
1.112194131,8.134842301,2.404431353,226,Rat_01
1.114609035,8.317378688,2.422401552,227,Rat_01
1.123420552,8.039982515,2.355502052,228,Rat_01
1.114299412,8.09732283,2.349338459,229,Rat_01
1.143211692,7.894299836,2.353638781,230,Rat_01
1.128071442,7.842844936,2.360890883,231,Rat_01
1.099098462,7.694927062,2.365702783,232,Rat_01
1.130694718,7.683620203,2.312717312,233,Rat_01
1.127086385,7.737504905,2.297452992,234,Rat_01
1.12255105,7.673590845,2.317397358,235,Rat_01
1.125710332,7.539404802,2.306712137,236,Rat_01
1.129501047,7.450553516,2.284255435,237,Rat_01
1.12726677,7.357230781,2.288951383,238,Rat_01
1.12894082,7.448095914,2.2878107,239,Rat_01
1.125514344,7.390694869,2.256615642,240,Rat_01
0.973790584,0.984753955,0.983519803,0,Rat_02
0.997283164,0.993855249,1.010028684,1,Rat_02
0.998543962,1.021399169,0.997643271,2,Rat_02
0.996929381,1.00819818,0.991833731,3,Rat_02
1.034415943,0.99142032,0.988927618,4,Rat_02
1.000013298,0.998919,1.008610423,5,Rat_02
1.037865492,1.017940837,1.006276911,6,Rat_02
1.096076025,1.008743275,0.982759563,7,Rat_02
1.192698296,1.00321262,0.997430501,8,Rat_02
1.404147559,1.001102503,1.027686731,9,Rat_02
1.656881863,1.028310452,1.110414468,10,Rat_02
1.873932987,1.101105494,1.184161092,11,Rat_02
2.138993914,1.156854301,1.252601561,12,Rat_02
2.52486419,1.318563495,1.338517929,13,Rat_02
2.808249979,1.427438548,1.473143576,14,Rat_02
3.052804026,1.545214594,1.625739133,15,Rat_02
3.389897583,1.691444761,1.737137735,16,Rat_02
3.844639439,1.783267354,1.905516588,17,Rat_02
4.070043117,1.977989797,2.039415261,18,Rat_02
4.420471817,2.197892057,2.203617736,19,Rat_02
4.698475081,2.307815328,2.42633283,20,Rat_02
5.039224318,2.51430998,2.615548397,21,Rat_02
5.334791281,2.657212049,2.819888926,22,Rat_02
5.605744149,2.870052182,2.932160572,23,Rat_02
5.895469223,3.051412175,3.255237985,24,Rat_02
6.286698438,3.258480262,3.462121636,25,Rat_02
6.485346806,3.459566352,3.708781462,26,Rat_02
6.693107939,3.63780648,3.871399362,27,Rat_02
6.906751136,3.823207217,4.127439693,28,Rat_02
7.430018767,4.037515057,4.173937028,29,Rat_02
7.380912166,4.322553335,4.521014789,30,Rat_02
7.581157794,4.40590247,4.746747509,31,Rat_02
7.725022109,4.621264282,4.874317545,32,Rat_02
7.907316348,4.817024209,5.181934022,33,Rat_02
8.114308442,5.075001609,5.394678416,34,Rat_02
8.172120761,5.349984245,5.603395671,35,Rat_02
8.199749028,5.484504612,5.88755307,36,Rat_02
8.261325867,5.829676936,5.960336602,37,Rat_02
8.521218413,6.026883322,6.14114936,38,Rat_02
8.640592855,6.325244793,6.365494377,39,Rat_02
8.47383206,6.540197124,6.571443857,40,Rat_02
8.74457822,6.6930773,6.784387552,41,Rat_02
8.783898511,6.896588715,6.996216021,42,Rat_02
8.852156757,7.186982982,7.098784872,43,Rat_02
8.741350965,7.191813108,7.412908529,44,Rat_02
9.041583803,7.525793702,7.519437652,45,Rat_02
8.968126093,7.718477753,7.729673994,46,Rat_02
8.693765803,7.986143101,7.934020961,47,Rat_02
8.357272687,8.252369501,7.929999639,48,Rat_02
8.023761095,8.336579745,8.102747373,49,Rat_02
7.700431497,8.543472088,8.228140483,50,Rat_02
7.638307742,8.803641718,8.258570867,51,Rat_02
7.319446827,9.033973074,8.436655303,52,Rat_02
7.136604271,9.108045189,8.622402798,53,Rat_02
6.821445264,9.626264234,8.775240165,54,Rat_02
6.462080516,9.430604029,8.737030784,55,Rat_02
6.286484697,9.76456133,8.967535595,56,Rat_02
6.112435863,9.810391895,8.974097561,57,Rat_02
6.006988595,9.958741111,9.108013812,58,Rat_02
5.704478284,10.38266606,9.108907546,59,Rat_02
5.514985431,10.45029531,9.295641443,60,Rat_02
5.375224244,10.54472719,9.353800417,61,Rat_02
5.279821562,10.80871782,9.535106707,62,Rat_02
5.163746313,11.23723874,9.630535863,63,Rat_02
5.068664104,11.20976697,9.408805542,64,Rat_02
4.893581915,11.41358441,9.476936894,65,Rat_02
4.795480112,11.63535014,9.393430938,66,Rat_02
4.778264135,11.78205445,9.726128638,67,Rat_02
4.677610392,11.67189628,9.729076836,68,Rat_02
4.507533055,11.97986349,9.845019361,69,Rat_02
4.426197335,11.89292673,9.503530645,70,Rat_02
4.388852904,12.30427883,9.796020187,71,Rat_02
4.211486406,12.40254213,9.771976642,72,Rat_02
4.112214041,12.54560421,9.89291068,73,Rat_02
4.097570507,12.82301098,9.882087828,74,Rat_02
3.958221082,12.77261656,9.986748162,75,Rat_02
3.86526725,12.99748094,9.736026834,76,Rat_02
3.740990328,13.24729846,9.874157793,77,Rat_02
3.749554945,13.34755233,9.887530209,78,Rat_02
3.633888693,13.3682819,10.00897672,79,Rat_02
3.611575227,13.48867543,9.914847883,80,Rat_02
3.429372543,13.75772372,10.06568815,81,Rat_02
3.418685936,13.92079087,10.14724883,82,Rat_02
3.416851499,14.15042931,9.967148086,83,Rat_02
3.307026382,14.04131978,10.03244746,84,Rat_02
3.222479822,14.43740807,9.91378382,85,Rat_02
3.235559194,14.10643874,10.00512763,86,Rat_02
3.140419482,14.50554963,9.914953893,87,Rat_02
3.092053892,14.57008131,9.941754104,88,Rat_02
2.977108383,14.63852963,9.779324355,89,Rat_02
3.030276247,15.11345012,9.992523465,90,Rat_02
2.919576925,14.71483078,9.946001713,91,Rat_02
2.85414967,15.21952984,10.07521912,92,Rat_02
2.801935947,15.30812127,10.16403755,93,Rat_02
2.796944612,15.18723735,10.01865989,94,Rat_02
2.813277595,15.22963252,10.06169395,95,Rat_02
2.711619743,15.57274034,9.984347554,96,Rat_02
2.626095586,15.62941369,9.988010598,97,Rat_02
2.605053669,15.76910712,9.996772947,98,Rat_02
2.620675434,15.79821557,10.02742771,99,Rat_02
2.596173459,15.83124006,10.09710338,100,Rat_02
2.553466058,15.40188012,10.22814601,101,Rat_02
2.50950979,16.04998912,10.17286902,102,Rat_02
2.510607679,15.7651152,10.07338413,103,Rat_02
2.445416978,15.98242993,10.09488459,104,Rat_02
2.4472777,15.88547209,9.855502097,105,Rat_02
2.413887632,16.16089163,10.25783997,106,Rat_02
2.362442567,16.30106546,10.31499371,107,Rat_02
2.387374176,16.22614848,10.12001673,108,Rat_02
2.297061316,16.61687286,9.717176401,109,Rat_02
2.26609722,16.64251337,9.226301604,110,Rat_02
2.30401499,16.5569341,9.125949279,111,Rat_02
2.273617358,16.43107258,8.85461093,112,Rat_02
2.261955881,16.91753462,8.647064024,113,Rat_02
2.171598787,16.71587624,8.485880464,114,Rat_02
2.157888675,16.74801929,8.337105808,115,Rat_02
2.106287766,16.9419743,8.261689504,116,Rat_02
2.081289991,16.5896745,8.07514285,117,Rat_02
2.076727921,17.11710712,7.846113522,118,Rat_02
2.003576818,17.21153791,7.673492159,119,Rat_02
2.044494237,17.15221601,7.532199127,120,Rat_02
1.994767288,17.19301776,7.4860582,121,Rat_02
1.966653147,17.35176719,7.279505263,122,Rat_02
1.950073221,17.42621383,7.036374839,123,Rat_02
1.907683118,17.58695765,6.867062276,124,Rat_02
1.900641952,17.42178351,6.948795009,125,Rat_02
1.901496519,17.31077074,6.822728148,126,Rat_02
1.910951564,17.66911442,6.617424883,127,Rat_02
1.884620465,17.89548226,6.599823956,128,Rat_02
1.872536812,17.75532407,6.47706102,129,Rat_02
1.862622501,17.60022588,6.355053507,130,Rat_02
1.827648371,17.46700509,6.236212737,131,Rat_02
1.802024833,17.62563852,6.168551516,132,Rat_02
1.827258378,17.79090121,5.967550993,133,Rat_02
1.7567673,17.66979053,6.004152391,134,Rat_02
1.776899757,17.73775334,5.794852894,135,Rat_02
1.763037812,17.81081964,5.797315889,136,Rat_02
1.737753728,17.74764667,5.644496722,137,Rat_02
1.782622188,17.94619369,5.509917858,138,Rat_02
1.716116256,17.68760597,5.548086917,139,Rat_02
1.750834619,17.91165313,5.309174472,140,Rat_02
1.703517574,17.837391,5.178429333,141,Rat_02
1.68552352,17.85847088,5.205722491,142,Rat_02
1.626766919,17.74054699,5.081296512,143,Rat_02
1.618885826,17.69860008,5.013838659,144,Rat_02
1.642652229,17.30935318,4.931493335,145,Rat_02
1.599513627,17.93907047,4.942999997,146,Rat_02
1.550095588,18.24488676,4.858228152,147,Rat_02
1.60328984,17.80370513,4.767052024,148,Rat_02
1.547692484,17.93058702,4.605897055,149,Rat_02
1.545278671,17.77277291,4.706548559,150,Rat_02
1.537263174,18.12520166,4.605669955,151,Rat_02
1.520824362,18.38169321,4.458861294,152,Rat_02
1.512463161,18.26596315,4.449864363,153,Rat_02
1.539511895,18.27593217,4.386826872,154,Rat_02
1.467329618,17.76019857,4.396549314,155,Rat_02
1.475968711,17.08178301,4.266747896,156,Rat_02
1.462544761,16.76406084,4.284718569,157,Rat_02
1.478494217,16.70869489,4.222403004,158,Rat_02
1.444462183,16.22501411,4.088592073,159,Rat_02
1.442922851,16.1587664,4.070988172,160,Rat_02
1.408399508,16.00906194,4.095688641,161,Rat_02
1.43827611,15.51721465,4.037755479,162,Rat_02
1.429865692,15.13767891,3.998154349,163,Rat_02
1.433136176,14.93586937,3.907970906,164,Rat_02
1.41099266,14.79446123,3.912747466,165,Rat_02
1.394424387,14.71273065,3.777566774,166,Rat_02
1.385406638,14.11461214,3.751384322,167,Rat_02
1.40167144,14.17294428,3.795930678,168,Rat_02
1.384500028,14.19842157,3.687693684,169,Rat_02
1.420727578,13.5950669,3.615775246,170,Rat_02
1.343224477,13.47608173,3.554116906,171,Rat_02
1.364405947,12.93067822,3.568632322,172,Rat_02
1.357146329,12.98262191,3.562965807,173,Rat_02
1.364278636,12.77532285,3.409878543,174,Rat_02
1.358412285,12.73838857,3.455889582,175,Rat_02
1.33629399,12.40778584,3.421985475,176,Rat_02
1.325586513,12.35811271,3.398180767,177,Rat_02
1.306809745,12.19309353,3.334757716,178,Rat_02
1.331511541,12.01160873,3.311038756,179,Rat_02
1.318704391,11.95314004,3.276691656,180,Rat_02
1.281825296,11.66734319,3.267446712,181,Rat_02
1.291062076,11.84689451,3.21947086,182,Rat_02
1.281991995,11.32518435,3.149882063,183,Rat_02
1.286111627,11.48289519,3.091717928,184,Rat_02
1.273381718,11.35266829,3.019931952,185,Rat_02
1.262725069,11.6036508,3.081593185,186,Rat_02
1.254176465,11.18446576,2.96007886,187,Rat_02
1.244422001,11.2055764,2.980136646,188,Rat_02
1.255416005,10.76660228,2.986831913,189,Rat_02
1.21739243,10.85240688,2.919634443,190,Rat_02
1.225915869,10.85341312,2.879204162,191,Rat_02
1.213393628,10.74852756,2.872999622,192,Rat_02
1.221165896,10.71109917,2.854064924,193,Rat_02
1.256387795,10.63052887,2.812590024,194,Rat_02
1.232088064,10.40043565,2.777216864,195,Rat_02
1.223934516,10.43961896,2.823026435,196,Rat_02
1.196113339,10.39484959,2.762320856,197,Rat_02
1.197598847,10.34275538,2.668322574,198,Rat_02
1.194760767,10.2038193,2.677103817,199,Rat_02
1.21603418,10.17482334,2.609720637,200,Rat_02
1.196625703,10.08014866,2.659816108,201,Rat_02
1.198080995,9.756511648,2.603517941,202,Rat_02
1.168309502,9.997232911,2.591497498,203,Rat_02
1.197029278,9.730495933,2.573318962,204,Rat_02
1.201035564,9.54135117,2.558906738,205,Rat_02
1.185363036,9.3612967,2.585750886,206,Rat_02
1.203926711,9.429003935,2.553236924,207,Rat_02
1.165996692,9.220209088,2.490378522,208,Rat_02
1.172452574,9.161845025,2.427848018,209,Rat_02
1.188970619,9.041741013,2.518112105,210,Rat_02
1.164165307,9.074503775,2.445135325,211,Rat_02
1.148551761,9.133557644,2.442496087,212,Rat_02
1.178369423,8.820926029,2.408300173,213,Rat_02
1.154690912,8.948727179,2.397815971,214,Rat_02
1.162042234,8.885026824,2.417908406,215,Rat_02
1.163540601,8.651920997,2.390816356,216,Rat_02
1.128847984,8.659081868,2.316324017,217,Rat_02
1.128636189,8.711599591,2.337920373,218,Rat_02
1.137951932,8.427159907,2.307351367,219,Rat_02
1.111563224,8.319969146,2.300753807,220,Rat_02
1.13066487,8.220778941,2.241680176,221,Rat_02
1.119287117,8.388301945,2.197959087,222,Rat_02
1.109572772,8.304019622,2.249376691,223,Rat_02
1.098396115,8.196232873,2.200181503,224,Rat_02
1.119777961,8.047081393,2.183389088,225,Rat_02
1.105049331,8.04311564,2.187455814,226,Rat_02
1.123143178,7.911154118,2.140529961,227,Rat_02
1.120980069,7.902202203,2.113897941,228,Rat_02
1.093175829,7.88253533,2.13109385,229,Rat_02
1.108660666,7.767918479,2.113124267,230,Rat_02
1.069058068,7.83723148,2.112074492,231,Rat_02
1.124041591,7.81249639,2.066320919,232,Rat_02
1.104293246,7.829915753,2.067066935,233,Rat_02
1.098257597,7.701715312,2.03283181,234,Rat_02
1.11906977,7.855400278,2.045736025,235,Rat_02
1.104588243,7.488894634,2.030364583,236,Rat_02
1.129238923,7.598236287,2.034435435,237,Rat_02
1.106602994,7.473564888,2.000872372,238,Rat_02
1.11870796,7.427827107,1.974321594,239,Rat_02
1.092580644,7.327208072,1.993884343,240,Rat_02
0.979477121,0.974561896,1.00755405,0,Rat_03
0.992428336,0.94942359,1.0079231,1,Rat_03
1.021804312,1.008067549,1.031949931,2,Rat_03
1.015995544,1.002114849,0.985852712,3,Rat_03
1.041708936,1.02249056,1.000095267,4,Rat_03
1.126975326,0.981394469,1.00800115,5,Rat_03
1.281518022,1.009666752,1.034412174,6,Rat_03
1.49037552,0.994650425,1.103077478,7,Rat_03
1.772356991,1.014346983,1.173242283,8,Rat_03
2.068562438,1.003152596,1.260834703,9,Rat_03
2.367715954,1.085972699,1.332094095,10,Rat_03
2.763534663,1.202515319,1.432644598,11,Rat_03
3.269863489,1.377921791,1.554185425,12,Rat_03
3.65146383,1.601732775,1.670375043,13,Rat_03
4.098865678,1.817684654,1.792964116,14,Rat_03
4.455830951,2.095636481,1.944630644,15,Rat_03
4.937005432,2.286540808,2.065323534,16,Rat_03
5.407221864,2.65523854,2.1968125,17,Rat_03
5.762681761,2.87805638,2.356377919,18,Rat_03
6.230985401,3.105902701,2.443406278,19,Rat_03
6.511744761,3.352851653,2.672974585,20,Rat_03
6.854795366,3.703975612,2.882871514,21,Rat_03
7.143145168,3.968593673,3.077924614,22,Rat_03
7.350278558,4.209664032,3.211164975,23,Rat_03
7.520782222,4.437165343,3.351572914,24,Rat_03
7.682674996,4.771352329,3.577439228,25,Rat_03
7.924779871,4.924231792,3.705659468,26,Rat_03
8.11004869,5.310571237,3.884305021,27,Rat_03
8.063698951,5.570545327,4.100565528,28,Rat_03
8.243394825,5.815410377,4.316525017,29,Rat_03
8.300300959,6.120987383,4.525449459,30,Rat_03
8.36372956,6.406049618,4.752563681,31,Rat_03
8.289616292,6.628887158,4.872360466,32,Rat_03
8.389821357,7.093132266,5.062095829,33,Rat_03
8.419814444,7.173142037,5.152567521,34,Rat_03
8.54565006,7.403547185,5.429350449,35,Rat_03
8.386295799,7.788472735,5.541816054,36,Rat_03
8.513884173,7.924883727,5.680042932,37,Rat_03
8.56307432,8.155933036,5.861655966,38,Rat_03
8.423785098,8.580295565,6.157326608,39,Rat_03
8.363636403,8.796690941,6.462700606,40,Rat_03
8.42095601,8.883642188,6.448865618,41,Rat_03
8.515284231,9.349481187,6.614722117,42,Rat_03
8.434018144,9.487011598,6.734331896,43,Rat_03
8.369025863,9.643567813,6.791514959,44,Rat_03
8.421863125,9.84623373,7.186558706,45,Rat_03
8.329702166,10.31416605,7.10319659,46,Rat_03
8.549890239,10.41705812,7.386001984,47,Rat_03
8.412743236,10.7461278,7.618415705,48,Rat_03
7.993829082,10.87268695,7.725692687,49,Rat_03
7.682657706,11.04921962,7.926693213,50,Rat_03
7.416114582,11.19672417,7.935290381,51,Rat_03
7.16487678,11.47431419,8.136191896,52,Rat_03
6.960858391,11.72957209,8.099226219,53,Rat_03
